iter	Passed	Remaining
688	4738	2138
689	4750	2134
690	4765	2131
691	4774	2125
692	4785	2119
693	4797	2115
694	4807	2109
695	4817	2104
696	4831	2100
697	4841	2094
698	4852	2089
699	4862	2083
700	4869	2077
701	4877	2070
702	4884	2063
703	4893	2057
704	4904	2052
705	4914	2046
706	4924	2040
707	4941	2037
708	4954	2033
709	4966	2028
710	4976	2022
711	4991	2018
712	5004	2014
713	5015	2008
714	5027	2003
715	5039	1998
716	5048	1992
717	5061	1987
718	5072	1982
719	5081	1976
720	5091	1970
721	5103	1965
722	5120	1961
723	5127	1954
724	5135	1947
725	5152	1944
726	5161	1938
727	5171	1932
728	5193	1930
729	5206	1925
730	5214	1918
731	5227	1913
732	5240	1908
733	5253	1903
734	5263	1897
735	5274	1891
736	5288	1887
737	5300	1881
738	5310	1875
739	5323	1870
740	5331	1863
741	5342	1857
742	5354	1851
743	5363	1845
744	5373	1839
745	5382	1832
746	5390	1825
747	5399	1819
748	5411	1813
749	5419	1806
750	5428	1799
751	5438	1793
752	5450	1787
753	5459	1781
754	5468	1774
755	5478	1768
756	5486	1761
757	5498	1755
758	5505	1748
759	5516	1742
760	5531	1737
761	5543	1731
762	5555	1725
763	5567	1719
764	5577	1713
765	5590	1707
766	5602	1701
767	5611	1694
768	5621	1688
769	5632	1682
770	5643	1676
771	5656	1670
772	5667	1664
773	5675	1657
774	5684	1650
775	5694	1643
776	5701	1636
777	5710	1629
778	5717	1622
779	5726	1615
780	5734	1608
781	5744	1601
782	5754	1594
783	5771	1590
784	5783	1584
785	5789	1576
786	5799	1569
787	5810	1563
788	5819	1556
789	5833	1550
790	5837	1542
791	5848	1536
792	5854	1528
793	5871	1523
794	5875	1515
795	5884	1508
796	5888	1499
797	5896	1492
798	5904	1485
799	5913	1478
800	5921	1471
801	5929	1463
802	5937	1456
803	5946	1449
804	5954	1442
805	5958	1434
806	5966	1427
807	5970	1418
808	5978	1411
809	5982	1403
810	5995	1397
811	5999	1388
812	6008	1382
813	6018	1375
814	6022	1367
815	6031	1360
816	6041	1353
817	6049	1346
818	6056	1338
819	6062	1330
820	6067	1322
821	6075	1315
822	6082	1308
823	6090	1300
824	6094	1292
825	6107	1286
826	6111	1278
827	6121	1271
828	6129	1264
829	6138	1257
830	6142	1249
831	6152	1242
832	6156	1234
833	6164	1226
834	6175	1220
835	6179	1212
836	6186	1204
837	6194	1197
838	6198	1189
839	6202	1181
840	6206	1173
841	6209	1165
842	6218	1158
843	6230	1151
844	6234	1143
845	6238	1135
846	6248	1128
847	6256	1121
848	6264	1114
849	6268	1106
850	6278	1099
851	6285	1091
852	6292	1084
853	6299	1076
854	6302	1068
855	6310	1061
856	6314	1053
857	6325	1046
858	6328	1038
859	6337	1031
860	6346	1024
861	6355	1017
862	6359	1009
863	6367	1002
864	6371	994
865	6380	987
866	6383	979
867	6394	972
868	6397	964
869	6410	957
870	6419	950
871	6426	943
872	6433	935
873	6438	928
874	6448	921
875	6455	913
876	6460	906
877	6472	899
878	6481	892
879	6489	884
880	6495	877
881	6498	869
882	6507	862
883	6515	855
884	6522	847
885	6530	840
886	6538	832
887	6543	825
888	6551	817
889	6560	810
890	6565	803
891	6569	795
892	6578	788
893	6588	781
894	6591	773
895	6604	766
896	6608	758
897	6616	751
898	6620	743
899	6628	736
900	6631	728
901	6641	721
902	6654	714
903	6658	707
904	6665	699
905	6674	692
906	6678	684
907	6688	677
908	6697	670
909	6705	663
910	6709	655
911	6717	648
912	6727	641
913	6732	633
914	6742	626
915	6746	618
916	6751	611
917	6760	603
918	6763	596
919	6770	588
920	6774	581
921	6778	573
922	6782	565
923	6791	558
924	6799	551
925	6809	544
926	6814	536
927	6819	529
928	6824	521
929	6833	514
930	6837	506
931	6844	499
932	6852	492
933	6862	484
934	6866	477
935	6871	469
936	6874	462
937	6878	454
938	6882	447
939	6886	439
940	6890	432
941	6894	424
942	6898	416
943	6902	409
944	6907	402
945	6913	394
946	6916	387
947	6922	379
948	6925	372
949	6930	364
950	6934	357
951	6938	349
952	6950	342
953	6954	335
954	6963	328
955	6973	320
956	6977	313
957	6980	306
958	6989	298
959	6997	291
960	7006	284
961	7015	277
962	7018	269
963	7023	262
964	7027	254
965	7033	247
966	7037	240
967	7041	232
968	7045	225
969	7057	218
970	7062	210
971	7073	203
972	7077	196
973	7080	189
974	7084	181
975	7088	174
976	7092	166
977	7101	159
978	7106	152
979	7110	145
980	7118	137
981	7122	130
982	7126	123
983	7131	115
984	7135	108
985	7139	101
986	7143	94
987	7149	86
988	7156	79
989	7164	72
990	7171	65
991	7184	57
992	7190	50
993	7194	43
994	7204	36
995	7214	28
996	7218	21
997	7223	14
998	7226	7
999	7231	0
